vectorizer,dimensions,classifier,round,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_Word2Vec,300,mixed,4,350.9183670000057,1160.4533697000006,0.9919676214196762,0.9914586947817964,0.9913263944488925,0.991392540201508
Pt-BR_Word2Vec,300,mixed,5,275.862546400007,1145.6354667999985,0.9920921544209216,0.994894531774822,0.9881238323992527,0.9914976233514091
Pt-BR_Word2Vec,300,mixed,6,251.34636139999202,1305.5173170999915,0.9925902864259029,0.9912082056747036,0.9929276754737123,0.9920671955202988
Pt-BR_Word2Vec,300,mixed,7,214.93879729999753,1216.5384712000086,0.9917185554171856,0.9914541327280011,0.9907926341072858,0.9911232730427818
Pt-BR_Word2Vec,300,mixed,8,216.91331720000017,1270.3912401999987,0.9921544209215442,0.9923817161186849,0.9907926341072858,0.9915865384615384
Pt-BR_Word2Vec,300,mixed,9,226.44066290000046,1174.4851306999917,0.9924657534246575,0.9912058627581612,0.992660795302909,0.9919327955197013
Pt-BR_Word2Vec,600,mixed,0,396.1459104999958,1507.631664399989,0.9924657534246575,0.9915988798506468,0.992260475046704,0.991929567131328
Pt-BR_Word2Vec,600,mixed,1,416.49817389999225,1383.086260600001,0.9925902864259029,0.9926519706078825,0.9914598345342941,0.9920555444288671
Pt-BR_Word2Vec,600,mixed,2,412.5280070000008,1452.7727621000085,0.9927148194271482,0.9945032846226035,0.9898585535094743,0.9921754831806326
Pt-BR_Word2Vec,600,mixed,3,423.4569315000117,1318.4362663000065,0.9927148194271482,0.9935768767563228,0.9907926341072858,0.9921828021647624
Pt-BR_Word2Vec,600,mixed,4,410.5612991999951,1354.0670101000142,0.9920921544209216,0.9917234014150313,0.9913263944488925,0.9915248581915248
Pt-BR_Word2Vec,600,mixed,5,453.54530939999677,1673.9860626000009,0.9923412204234122,0.9917278185456971,0.991860154790499,0.9917939822536527
Pt-BR_Word2Vec,600,mixed,6,399.6355981000088,1464.8548981000058,0.9931506849315068,0.9946409431939979,0.9906591940218842,0.9926460756785667
Pt-BR_Word2Vec,600,mixed,7,413.2557698000019,1328.843907500006,0.9922789539227895,0.9922522041143468,0.9911929543634908,0.9917222963951935
Pt-BR_Word2Vec,600,mixed,8,414.65575449999596,1241.120347700009,0.9921544209215442,0.9948952176249328,0.9882572724846543,0.9915651358950328
Pt-BR_Word2Vec,600,mixed,9,411.1916312000103,1371.2324575000093,0.9927148194271482,0.9916033586565374,0.9927942353883107,0.9921984396879376
Pt-BR_Word2Vec,1000,mixed,0,821.5030571000098,1479.688894699997,0.9927770859277708,0.9926549145299145,0.991860154790499,0.9922573755172874
Pt-BR_Word2Vec,1000,mixed,1,699.6163137999974,1466.6745465999993,0.9924657534246575,0.9930453390397218,0.9907926341072858,0.9919177075679647
Pt-BR_Word2Vec,1000,mixed,2,689.0495123000001,1756.1794469000015,0.9922789539227895,0.9914643905041345,0.9919935948759008,0.9917289220917823
Pt-BR_Word2Vec,1000,mixed,3,687.8916859000019,1756.0504210999934,0.9927148194271482,0.9931809065383073,0.9911929543634908,0.9921859346824283
Pt-BR_Word2Vec,1000,mixed,4,691.4120651999983,1684.6185718999914,0.9927148194271482,0.9927855711422846,0.9915932746196957,0.9921890646905668
Pt-BR_Word2Vec,1000,mixed,5,695.0721170000033,1771.8985794999899,0.9927148194271482,0.9927855711422846,0.9915932746196957,0.9921890646905668
Pt-BR_Word2Vec,1000,mixed,6,700.7117021000013,1733.513732499996,0.9924034869240349,0.98989898989899,0.9938617560715239,0.9918764149687042
Pt-BR_Word2Vec,1000,mixed,7,699.1372139000014,1833.994730899998,0.9930261519302616,0.9941097724230255,0.9909260741926875,0.9925153702218658
Pt-BR_Word2Vec,1000,mixed,8,690.9520848000102,1732.1062442999973,0.9930261519302616,0.9939775160599572,0.9910595142780891,0.9925163704396632
Pt-BR_Word2Vec,1000,mixed,9,691.0295332000096,1919.1984816999902,0.9923412204234122,0.9930434782608696,0.9905257539364826,0.9917830182376913
Pt-BR_GloVe,50,cnn,0,357.5466698000091,169.72003189999668,0.9914694894146949,0.9909248632056586,0.9907926341072858,0.9908587442450124
Pt-BR_GloVe,50,cnn,1,51.195433799992315,157.78937589999987,0.9912826899128269,0.9913148049171566,0.9899919935948759,0.9906529576712512
Pt-BR_GloVe,50,cnn,2,55.60063270000683,185.02762049999728,0.9914072229140722,0.9910547396528705,0.9905257539364826,0.9907901761879339
Pt-BR_GloVe,50,cnn,3,49.39367200000561,180.59847029999946,0.9909713574097135,0.9911776500467852,0.9894582332532693,0.9903171953255426
Pt-BR_GloVe,50,cnn,4,50.54446959999041,183.73052829998778,0.9916562889165629,0.9927691483663631,0.9893247931678676,0.991043978077797
Pt-BR_GloVe,50,cnn,5,50.23047530000622,172.55079380000825,0.9918430884184308,0.9921133538297019,0.9903923138510808,0.9912520868113522
Pt-BR_GloVe,50,cnn,6,50.656954599995515,182.84731650000322,0.9919676214196762,0.99054216065006,0.992260475046704,0.9914005732951136
Pt-BR_GloVe,50,cnn,7,49.914759599996614,165.9592818999954,0.9915940224159402,0.9925043501539286,0.9894582332532693,0.9909789508853993
Pt-BR_GloVe,50,cnn,8,50.15843640000094,174.51370569999563,0.9915317559153176,0.9906641771138971,0.9911929543634908,0.9909284951974386
Pt-BR_GloVe,50,cnn,9,51.21711870000581,171.11579009999696,0.9917808219178083,0.9922439154854239,0.9901254336802775,0.9911835426128773
